subject,game,game_name,day,bout_length,cross2,bout_class
sub_1,1,Pong,1,18,80,Short
sub_1,1,Pong,1,153,80,Long
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,52,80,Short
sub_1,1,Pong,1,42,80,Short
sub_1,1,Pong,1,94,80,Long
sub_1,1,Pong,1,14,80,Short
sub_1,1,Pong,1,28,80,Short
sub_1,1,Pong,1,29,80,Short
sub_1,1,Pong,1,78,80,Short
sub_1,1,Pong,1,52,80,Short
sub_1,1,Pong,1,66,80,Short
sub_1,1,Pong,1,183,80,Long
sub_1,1,Pong,1,41,80,Short
sub_1,1,Pong,1,170,80,Long
sub_1,1,Pong,1,81,80,Long
sub_1,1,Pong,1,137,80,Long
sub_1,1,Pong,1,25,80,Short
sub_1,1,Pong,1,30,80,Short
sub_1,1,Pong,1,16,80,Short
sub_1,1,Pong,1,15,80,Short
sub_1,1,Pong,1,84,80,Long
sub_1,1,Pong,1,172,80,Long
sub_1,1,Pong,1,10,80,Short
sub_1,1,Pong,2,71,80,Short
sub_1,1,Pong,2,18,80,Short
sub_1,1,Pong,2,25,80,Short
sub_1,1,Pong,2,21,80,Short
sub_1,1,Pong,2,30,80,Short
sub_1,1,Pong,2,20,80,Short
sub_1,1,Pong,2,10,80,Short
sub_1,1,Pong,2,24,80,Short
sub_1,1,Pong,2,34,80,Short
sub_1,1,Pong,2,9,80,Short
sub_1,1,Pong,2,146,80,Long
sub_1,1,Pong,2,58,80,Short
sub_1,1,Pong,2,19,80,Short
sub_1,1,Pong,2,25,80,Short
sub_1,1,Pong,2,141,80,Long
sub_1,1,Pong,2,7,80,Short
sub_1,1,Pong,2,10,80,Short
sub_1,1,Pong,2,67,80,Short
sub_1,1,Pong,2,166,80,Long
sub_1,1,Pong,2,6,80,Short
sub_1,1,Pong,2,39,80,Short
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,32,80,Short
sub_1,1,Pong,2,32,80,Short
sub_1,1,Pong,2,27,80,Short
sub_1,1,Pong,2,17,80,Short
sub_1,1,Pong,2,143,80,Long
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,32,80,Short
sub_1,1,Pong,2,23,80,Short
sub_1,1,Pong,2,145,80,Long
sub_1,1,Pong,2,22,80,Short
sub_1,1,Pong,2,11,80,Short
sub_1,1,Pong,2,24,80,Short
sub_1,1,Pong,2,22,80,Short
sub_1,1,Pong,2,35,80,Short
sub_1,1,Pong,2,122,80,Long
sub_1,1,Pong,2,9,80,Short
sub_1,1,Pong,2,4,80,Short
sub_1,1,Pong,2,19,80,Short
sub_1,1,Pong,2,7,80,Short
sub_1,1,Pong,2,56,80,Short
sub_1,1,Pong,2,36,80,Short
sub_1,1,Pong,2,26,80,Short
