subject,game,game_name,day,lag1_autocorr,n_steps
sub_6,2,SpaceInvaders,2,0.8471416571444472,3528
sub_6,2,SpaceInvaders,2,0.8167102380514983,4175
sub_6,2,SpaceInvaders,2,0.7550231829658085,4284
sub_6,2,SpaceInvaders,2,0.7173741422654673,2841
sub_6,2,SpaceInvaders,2,0.7614444590077846,5739
sub_6,2,SpaceInvaders,2,0.7739024843407929,3585
sub_6,2,SpaceInvaders,2,0.7864811148237536,368
sub_6,2,SpaceInvaders,2,0.7514415272063889,4077
sub_6,2,SpaceInvaders,2,0.7262767807449553,2417
sub_6,2,SpaceInvaders,2,0.746727688540608,5911
sub_6,2,SpaceInvaders,2,0.8030213221145326,1773
sub_6,2,SpaceInvaders,2,0.7689606250581398,3692
sub_6,2,SpaceInvaders,2,0.8341028528971061,2241
sub_6,2,SpaceInvaders,2,0.8113026819923371,174
sub_6,2,SpaceInvaders,3,0.7636800606562472,3547
sub_6,2,SpaceInvaders,3,0.8366790101325613,4115
sub_6,2,SpaceInvaders,3,0.7686827351865296,6121
sub_6,2,SpaceInvaders,3,0.7607475430381391,3929
sub_6,2,SpaceInvaders,3,0.6888065899363209,2391
sub_6,2,SpaceInvaders,3,0.8573232323232324,99
sub_6,2,SpaceInvaders,3,0.6845128549069219,3989
sub_6,2,SpaceInvaders,3,0.6622901264765158,3717
sub_6,2,SpaceInvaders,3,0.7342657180537691,6709
sub_6,2,SpaceInvaders,3,0.7502501055660737,2025
sub_6,2,SpaceInvaders,3,0.7359531700669467,1989
sub_6,2,SpaceInvaders,3,0.6983642912157606,4045
sub_6,2,SpaceInvaders,3,0.7620356289937826,1561
sub_6,2,SpaceInvaders,3,0.6581601906031427,5054
sub_6,2,SpaceInvaders,3,0.6880110521717357,3965
sub_6,2,SpaceInvaders,3,0.7051664412016563,2813
sub_6,2,SpaceInvaders,3,0.6344830106431725,624
sub_6,2,SpaceInvaders,4,0.6434968138156149,3121
sub_6,2,SpaceInvaders,4,0.681474450881462,2599
sub_6,2,SpaceInvaders,4,0.6781515799917595,2352
sub_6,2,SpaceInvaders,4,0.7765288856875949,2381
sub_6,2,SpaceInvaders,4,0.7599444696642967,6357
sub_6,2,SpaceInvaders,4,0.7037272114317167,2381
sub_6,2,SpaceInvaders,4,0.9148792554715899,164
sub_6,2,SpaceInvaders,4,0.6910580647858833,2284
sub_6,2,SpaceInvaders,4,0.735154530827248,8167
sub_6,2,SpaceInvaders,4,0.6508623267759329,2220
sub_6,2,SpaceInvaders,4,0.75052842251738,2999
sub_6,2,SpaceInvaders,4,0.7077035867358445,3476
sub_6,2,SpaceInvaders,4,0.7052580679272473,431
sub_6,2,SpaceInvaders,4,0.6145417825258856,4773
sub_6,2,SpaceInvaders,4,0.719633511010305,3925
sub_6,2,SpaceInvaders,4,0.6618949768755072,2259
sub_6,2,SpaceInvaders,4,0.7533152003260101,4397
sub_6,2,SpaceInvaders,4,0.6428003026577204,2147
