subject,game,game_name,day,bout_length
sub_1,1,Pong,2,54
sub_1,1,Pong,2,140
sub_1,1,Pong,2,38
sub_1,1,Pong,2,24
sub_1,1,Pong,2,19
sub_1,1,Pong,2,131
sub_1,1,Pong,2,28
sub_1,1,Pong,2,214
sub_1,1,Pong,2,33
sub_1,1,Pong,2,178
sub_1,1,Pong,2,7
sub_1,1,Pong,2,55
sub_1,1,Pong,2,166
sub_1,1,Pong,2,20
sub_1,1,Pong,2,17
sub_1,1,Pong,2,35
sub_1,1,Pong,2,12
sub_1,1,Pong,2,36
sub_1,1,Pong,2,47
sub_1,1,Pong,2,7
sub_1,1,Pong,2,143
sub_1,1,Pong,2,8
sub_1,1,Pong,2,9
sub_1,1,Pong,2,215
sub_1,1,Pong,2,13
sub_1,1,Pong,2,28
sub_1,1,Pong,2,14
sub_1,1,Pong,2,16
sub_1,1,Pong,2,89
sub_1,1,Pong,2,48
sub_1,1,Pong,2,132
sub_1,1,Pong,2,40
sub_1,1,Pong,2,56
sub_1,1,Pong,2,21
sub_1,1,Pong,2,32
sub_1,1,Pong,2,10
sub_1,1,Pong,2,18
sub_1,1,Pong,2,139
sub_1,1,Pong,2,21
sub_1,1,Pong,2,25
sub_1,1,Pong,2,196
sub_1,1,Pong,2,23
sub_1,1,Pong,2,79
sub_1,1,Pong,2,12
sub_1,1,Pong,2,23
sub_1,1,Pong,2,39
sub_1,1,Pong,2,118
sub_1,1,Pong,2,102
sub_1,1,Pong,2,27
sub_1,1,Pong,2,150
sub_1,1,Pong,2,218
sub_1,1,Pong,2,128
sub_1,1,Pong,2,117
sub_1,1,Pong,2,60
sub_1,1,Pong,2,20
sub_1,1,Pong,2,14
sub_1,1,Pong,2,22
sub_1,1,Pong,2,46
sub_1,1,Pong,2,8
sub_1,1,Pong,2,20
sub_1,1,Pong,2,78
sub_1,1,Pong,2,12
sub_1,1,Pong,2,15
sub_1,1,Pong,2,31
sub_1,1,Pong,2,37
sub_1,1,Pong,2,13
sub_1,1,Pong,2,224
sub_1,1,Pong,2,157
sub_1,1,Pong,2,21
sub_1,1,Pong,2,212
sub_1,1,Pong,2,222
sub_1,1,Pong,2,16
sub_1,1,Pong,2,248
sub_1,1,Pong,2,16
sub_1,1,Pong,2,13
sub_1,1,Pong,2,8
sub_1,1,Pong,2,20
sub_1,1,Pong,2,113
sub_1,1,Pong,2,74
sub_1,1,Pong,2,21
sub_1,1,Pong,2,35
sub_1,1,Pong,2,97
sub_1,1,Pong,2,15
sub_1,1,Pong,2,18
sub_1,1,Pong,2,42
sub_1,1,Pong,2,43
sub_1,1,Pong,2,127
sub_1,1,Pong,2,6
sub_1,1,Pong,2,21
sub_1,1,Pong,2,31
sub_1,1,Pong,2,161
sub_1,1,Pong,2,46
sub_1,1,Pong,2,11
sub_1,1,Pong,2,10
sub_1,1,Pong,2,94
sub_1,1,Pong,2,18
sub_1,1,Pong,2,138
sub_1,1,Pong,2,15
sub_1,1,Pong,2,35
sub_1,1,Pong,2,14
sub_1,1,Pong,2,16
sub_1,1,Pong,2,30
sub_1,1,Pong,2,109
sub_1,1,Pong,2,54
sub_1,1,Pong,2,36
sub_1,1,Pong,2,154
sub_1,1,Pong,2,7
sub_1,1,Pong,2,16
sub_1,1,Pong,2,33
sub_1,1,Pong,2,56
sub_1,1,Pong,2,39
sub_1,1,Pong,2,37
sub_1,1,Pong,2,16
sub_1,1,Pong,2,167
sub_1,1,Pong,2,45
sub_1,1,Pong,2,204
sub_1,1,Pong,2,176
sub_1,1,Pong,2,92
sub_1,1,Pong,2,163
sub_1,1,Pong,2,49
sub_1,1,Pong,2,170
sub_1,1,Pong,2,29
sub_1,1,Pong,2,13
sub_1,1,Pong,2,172
sub_1,1,Pong,2,15
sub_1,1,Pong,2,13
sub_1,1,Pong,2,21
sub_1,1,Pong,2,70
sub_1,1,Pong,2,20
sub_1,1,Pong,2,77
sub_1,1,Pong,2,87
sub_1,1,Pong,2,37
sub_1,1,Pong,2,107
sub_1,1,Pong,2,46
sub_1,1,Pong,2,16
sub_1,1,Pong,2,151
sub_1,1,Pong,2,59
sub_1,1,Pong,2,7
sub_1,1,Pong,2,2
sub_1,1,Pong,2,15
sub_1,1,Pong,2,53
sub_1,1,Pong,2,91
sub_1,1,Pong,2,29
sub_1,1,Pong,2,131
sub_1,1,Pong,2,72
sub_1,1,Pong,2,60
sub_1,1,Pong,2,22
sub_1,1,Pong,2,25
sub_1,1,Pong,2,10
sub_1,1,Pong,2,29
sub_1,1,Pong,2,12
sub_1,1,Pong,2,13
sub_1,1,Pong,2,48
sub_1,1,Pong,2,257
sub_1,1,Pong,2,70
sub_1,1,Pong,2,75
sub_1,1,Pong,2,66
sub_1,1,Pong,2,239
sub_1,1,Pong,2,48
sub_1,1,Pong,2,21
sub_1,1,Pong,2,151
sub_1,1,Pong,2,13
sub_1,1,Pong,2,276
sub_1,1,Pong,2,15
sub_1,1,Pong,2,54
sub_1,1,Pong,2,131
sub_1,1,Pong,2,233
sub_1,1,Pong,2,14
sub_1,1,Pong,2,43
sub_1,1,Pong,2,48
sub_1,1,Pong,2,7
sub_1,1,Pong,2,57
sub_1,1,Pong,2,173
sub_1,1,Pong,2,38
sub_1,1,Pong,2,13
sub_1,1,Pong,2,18
sub_1,1,Pong,2,6
sub_1,1,Pong,2,132
sub_1,1,Pong,2,12
sub_1,1,Pong,2,32
sub_1,1,Pong,2,13
sub_1,1,Pong,2,13
sub_1,1,Pong,2,37
sub_1,1,Pong,2,13
sub_1,1,Pong,2,100
sub_1,1,Pong,2,47
sub_1,1,Pong,2,210
sub_1,1,Pong,2,32
sub_1,1,Pong,2,193
sub_1,1,Pong,2,59
sub_1,1,Pong,2,144
sub_1,1,Pong,2,43
sub_1,1,Pong,2,20
sub_1,1,Pong,2,14
sub_1,1,Pong,2,129
sub_1,1,Pong,2,266
sub_1,1,Pong,2,35
sub_1,1,Pong,2,15
sub_1,1,Pong,2,157
sub_1,1,Pong,2,5
sub_1,1,Pong,2,52
sub_1,1,Pong,2,12
sub_1,1,Pong,2,190
sub_1,1,Pong,2,15
sub_1,1,Pong,2,22
sub_1,1,Pong,2,12
sub_1,1,Pong,2,44
sub_1,1,Pong,2,17
sub_1,1,Pong,2,64
sub_1,1,Pong,2,84
sub_1,1,Pong,2,157
sub_1,1,Pong,2,15
sub_1,1,Pong,2,48
sub_1,1,Pong,2,16
sub_1,1,Pong,2,140
sub_1,1,Pong,2,43
sub_1,1,Pong,2,148
sub_1,1,Pong,2,33
sub_1,1,Pong,2,21
sub_1,1,Pong,2,24
sub_1,1,Pong,2,15
sub_1,1,Pong,2,49
