subject,subject_label,session,block,game_id,game_name,episode_index,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference,episode_label
sub-002,S2,3,6,1,Pong,0,146,702,0.0,-0.014245014245014245,0.014245014245014245,ses03-block06-ep00
sub-002,S2,3,8,1,Pong,0,158,758,0.0,-0.0079155672823219,0.0079155672823219,ses03-block08-ep00
sub-002,S2,4,2,1,Pong,0,156,567,0.0,-0.014109347442680775,0.014109347442680775,ses04-block02-ep00
sub-002,S2,4,6,1,Pong,0,163,615,0.006134969325153374,0.0016260162601626016,0.004508953064990773,ses04-block06-ep00
sub-002,S2,4,8,1,Pong,0,172,937,0.0,-0.007470651013874066,0.007470651013874066,ses04-block08-ep00
sub-002,S2,1,2,2,SpaceInvaders,0,133,1834,0.8646616541353384,0.5916030534351145,0.2730586007002238,ses01-block02-ep00
sub-002,S2,1,2,2,SpaceInvaders,1,150,1673,1.1333333333333333,0.7292289300657502,0.4041044032675831,ses01-block02-ep01
sub-002,S2,1,2,2,SpaceInvaders,2,177,2248,0.7909604519774012,0.7295373665480427,0.06142308542935848,ses01-block02-ep02
sub-002,S2,1,2,2,SpaceInvaders,3,149,1762,1.2751677852348993,0.8484676503972758,0.4267001348376235,ses01-block02-ep03
sub-002,S2,1,2,2,SpaceInvaders,4,143,1724,1.1888111888111887,0.5713457076566125,0.6174654811545762,ses01-block02-ep04
sub-002,S2,1,2,2,SpaceInvaders,5,69,869,0.9420289855072463,0.6329113924050633,0.309117593102183,ses01-block02-ep05
sub-002,S2,1,2,2,SpaceInvaders,6,60,525,0.75,0.2857142857142857,0.4642857142857143,ses01-block02-ep06
sub-002,S2,1,5,2,SpaceInvaders,0,232,2439,0.7327586206896551,0.7503075030750308,-0.017548882385375664,ses01-block05-ep00
sub-002,S2,1,5,2,SpaceInvaders,1,161,2074,1.2732919254658386,0.8027965284474445,0.47049539701839405,ses01-block05-ep01
sub-002,S2,1,5,2,SpaceInvaders,2,137,1837,0.656934306569343,0.7512248230811105,-0.09429051651176745,ses01-block05-ep02
sub-002,S2,1,5,2,SpaceInvaders,3,132,4604,0.45454545454545453,0.9350564726324935,-0.48051101808703894,ses01-block05-ep03
sub-002,S2,1,5,2,SpaceInvaders,4,24,1431,0.0,0.6988120195667366,-0.6988120195667366,ses01-block05-ep04
sub-002,S2,2,2,2,SpaceInvaders,0,168,1580,1.0714285714285714,0.8227848101265823,0.24864376130198906,ses02-block02-ep00
sub-002,S2,2,2,2,SpaceInvaders,1,147,1687,1.4965986394557824,0.7498518079430943,0.7467468315126882,ses02-block02-ep01
sub-002,S2,2,2,2,SpaceInvaders,2,156,2013,0.6410256410256411,0.767511177347243,-0.12648553632160187,ses02-block02-ep02
sub-002,S2,2,2,2,SpaceInvaders,3,276,3091,1.25,0.800711743772242,0.44928825622775803,ses02-block02-ep03
sub-002,S2,2,2,2,SpaceInvaders,4,47,346,0.851063829787234,0.5202312138728323,0.3308326159144017,ses02-block02-ep04
sub-002,S2,2,2,2,SpaceInvaders,5,160,1758,0.71875,0.5034129692832765,0.2153370307167235,ses02-block02-ep05
sub-002,S2,2,2,2,SpaceInvaders,6,48,456,1.4583333333333333,1.0635964912280702,0.39473684210526305,ses02-block02-ep06
sub-002,S2,2,6,2,SpaceInvaders,0,322,2723,0.9161490683229814,0.9603378626514874,-0.044188794328505976,ses02-block06-ep00
sub-002,S2,2,6,2,SpaceInvaders,1,148,1620,0.7432432432432432,0.8024691358024691,-0.059225892559225946,ses02-block06-ep01
sub-002,S2,2,6,2,SpaceInvaders,2,297,2963,1.1447811447811447,0.9028012149848127,0.24197992979633198,ses02-block06-ep02
sub-002,S2,2,6,2,SpaceInvaders,3,156,1935,0.5769230769230769,0.599483204134367,-0.022560127211290082,ses02-block06-ep03
sub-002,S2,2,6,2,SpaceInvaders,4,15,153,2.0,0.9150326797385621,1.084967320261438,ses02-block06-ep04
