address,slot_name,is_key_slot,is_annotated_slot,trace_excluded,n_unique,value_min,value_max,value_range,pearson_r,r2,mae,normalized_mae,rounded_acc,majority_acc,acc_gain,pearson_rank,r2_rank,acc_gain_rank
90,,0,0,0,256,0.0,255.0,255.0,-0.005862903410598657,-0.1591916599575105,67.14551222125641,0.2633157342010055,0.004066032365617631,0.004350654631210865,-0.00028462226559323404,82,59,43
91,,0,0,0,1,24.0,24.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
92,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
93,,0,0,0,1,52.0,52.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
94,,0,0,0,1,82.0,82.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
95,,0,0,0,1,196.0,196.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
96,,0,0,0,1,246.0,246.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
97,,0,0,0,1,20.0,20.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
98,,0,0,0,1,7.0,7.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
99,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
100,,0,0,0,1,226.0,226.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
101,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
102,,0,0,0,26,0.0,37.0,37.0,0.41487012285222663,0.06566293691221259,6.70923178169973,0.1813305886945873,0.09307148084898756,0.14084736114499471,-0.047775880296007156,29,30,52
103,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
104,,0,0,0,20,0.0,149.0,149.0,0.15433592052017167,-0.2476123264726222,44.03046206337577,0.2955064568011797,0.013499227453850533,0.11071806131576807,-0.09721883386191754,53,67,63
105,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
106,,0,0,0,256,0.0,255.0,255.0,-0.0018813541394964647,-0.1567576615421229,67.09575400360622,0.26312060393571063,0.003944051394649101,0.0042896641457266,-0.00034561275107749916,78,57,44
107,alien_alive_column_mask,0,1,0,22,0.0,63.0,63.0,0.8424990152110545,0.7028805516994379,9.80570709731527,0.1556461444018297,0.04173782223306498,0.6262503049524274,-0.5845124827193624,11,11,110
108,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
109,,0,0,0,5,0.0,128.0,128.0,0.5539641230869298,0.3017516863574118,0.5175837047620451,0.004043622693453477,0.7601040904285599,0.9097137513214605,-0.14960966089290062,22,22,66
110,,0,0,0,22,0.0,255.0,255.0,0.11928175326897153,-0.11211292700058517,41.184795480303,0.1615090018835412,0.009595836382857608,0.37622997479059933,-0.3666341384077417,57,47,89
111,,0,0,0,9,0.0,255.0,255.0,0.4166548324785187,0.11260193557032971,48.93329967428361,0.19189529284032789,0.27049280312271284,0.8672847035862405,-0.5967919004635277,28,28,111
112,,0,0,0,19,0.0,255.0,255.0,0.0840351331539053,-0.15798219874661235,58.510425485885655,0.22945264896425746,0.030861185655037815,0.49993900951451575,-0.46907782385947794,63,58,97
113,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
114,,0,0,0,18,0.0,255.0,255.0,0.3644079902546254,0.0007517909144025836,54.49746305073743,0.2137155413754409,0.011974465316743921,0.7635602179393348,-0.7515857526225909,34,36,119
115,,0,0,0,2,0.0,252.0,252.0,0.3382546490990378,-0.046238763674590455,83.76718431733978,0.33240946157674517,0.23737496950475725,0.7681548345124827,-0.5307798650077254,37,40,106
116,,0,0,0,2,0.0,2.0,2.0,-0.0026474412815292955,-0.16798812308055222,0.00404982589271544,0.00202491294635772,0.9999593396763439,0.9999593396763439,0.0,79,62,3
117,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
118,,0,0,0,7,0.0,48.0,48.0,0.0083750099274997,-0.13935499863934941,1.1200610513295175,0.023334605236031616,0.5884971944376677,0.9903228429698301,-0.4018256485321624,72,50,93
119,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
120,,0,0,0,5,0.0,99.0,99.0,0.7832364272894217,0.6030923717984089,7.882487900653893,0.07962108990559488,0.45791656501585754,0.9570423680572497,-0.4991258030413922,15,15,100
121,,0,0,0,2,252.0,255.0,3.0,0.7697620688028999,0.5807276595717727,0.2509089877297745,0.08363632924325816,0.9081889891843539,0.9570423680572497,-0.04885337887289587,16,16,54
122,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
123,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
124,,0,0,0,4,148.0,235.0,87.0,0.09016710981815146,-0.2549201491896611,21.55260672921755,0.2477311118300868,0.016365780271610963,0.8023298365454989,-0.785964056273888,61,68,121
125,,0,0,0,3,251.0,254.0,3.0,0.30911942202422854,-0.03790109234835071,0.6764961956787606,0.22549873189292022,0.482475400504188,0.8023298365454989,-0.3198544360413109,39,37,83
126,,0,0,0,6,7.0,233.0,226.0,0.0014786692277136506,-0.14943324880964615,18.492304002442786,0.08182435399310968,0.02583963568350004,0.9580792063104823,-0.9322395706269823,75,51,128
127,,0,0,0,4,242.0,245.0,3.0,-0.0005924767220388804,-0.15118579386423536,0.27927622469768415,0.09309207489922805,0.9292713670000813,0.958262177766935,-0.028990810766853725,76,53,48
