field,dtype,per_step_shape,feature_dim,action_id,action_label,num_real_steps,mean_value,std_value,min_value,max_value,avg_l2_norm
root_policy,float32,"(6,)",6,0,NOOP,1139,-0.8753709879450752,1.5548424533491754,-10.24262809753418,3.5210518836975098,3.885752863803137
root_policy,float32,"(6,)",6,1,FIRE,13267,-2.232458463074038,2.9830030115060384,-13.651569366455078,4.73118782043457,8.525584990020029
root_policy,float32,"(6,)",6,2,RIGHT,432,-0.7508304437427863,1.4267574854711242,-7.391571044921875,3.1271791458129883,3.6716144906997368
root_policy,float32,"(6,)",6,3,LEFT,1791,-0.7830012323795534,1.5707590634595603,-8.766000747680664,3.515503406524658,3.903678173565591
root_policy,float32,"(6,)",6,4,RIGHTFIRE,16109,-2.2448599562374114,3.0982688576058646,-14.418479919433594,5.972944736480713,8.716673367951385
root_policy,float32,"(6,)",6,5,LEFTFIRE,11068,-2.1311238670801944,2.8729447918474773,-11.088371276855469,5.381102085113525,8.424185810365417
root_qs_max,float32,"(6,)",6,0,NOOP,1139,0.7617692139831268,1.313903370265463,-0.05200298875570297,12.54024887084961,3.087238794017667
root_qs_max,float32,"(6,)",6,1,FIRE,13267,2.1617802970377085,2.889280611258223,-0.14627408981323242,24.758987426757812,7.980460422645725
root_qs_max,float32,"(6,)",6,2,RIGHT,432,0.6908737210668968,1.2280475363780972,0.0,6.375696659088135,2.9328768478628575
root_qs_max,float32,"(6,)",6,3,LEFT,1791,0.6551778565004757,1.3853973676714937,-0.13293059170246124,9.440963745117188,2.994034447745251
root_qs_max,float32,"(6,)",6,4,RIGHTFIRE,16109,2.475377163331711,3.086915440268194,-0.22213463485240936,13.698004722595215,8.651945355005854
root_qs_max,float32,"(6,)",6,5,LEFTFIRE,11068,1.6113466073349967,2.729608559412298,-0.1827557384967804,86.38675689697266,6.888138058260778
root_qs_mean,float32,"(6,)",6,0,NOOP,1139,0.6661073340356234,1.152694291846176,-0.16750122606754303,8.83935832977295,2.6591644388283417
root_qs_mean,float32,"(6,)",6,1,FIRE,13267,2.0076135037734244,2.697888922515201,-0.23441381752490997,12.386934280395508,7.374421966907476
root_qs_mean,float32,"(6,)",6,2,RIGHT,432,0.6093819379027902,1.0936048412073847,-0.029691223055124283,5.879868984222412,2.5514768975693474
root_qs_mean,float32,"(6,)",6,3,LEFT,1791,0.5254961749317215,1.1513404973960366,-0.20170949399471283,7.302793979644775,2.3627342742805424
root_qs_mean,float32,"(6,)",6,4,RIGHTFIRE,16109,2.293773810047545,2.8765962045312157,-0.24089880287647247,11.782988548278809,7.963267527150279
root_qs_mean,float32,"(6,)",6,5,LEFTFIRE,11068,1.4229082217237274,2.2282355809557584,-0.19872255623340607,30.518573760986328,6.024284718256331
root_r,float32,"(1,)",1,0,NOOP,1139,0.03511852502194908,0.18407936935526428,0.0,1.0,0.03511852502194908
